# file...... total_load_all.csv
# date...... Mon Nov 16 16:39:55 2020
# user...... (null)
# host...... (null)
# group..... class=house
# property.. total_load
# limit..... 0
# interval.. 60
# timestamp,house_1,house_2,house_3
2016-07-01 00:00:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:01:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:02:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:03:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:04:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:05:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:06:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:07:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:08:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:09:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:10:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:11:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:12:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:13:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:14:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:15:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:16:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:17:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:18:00 UTC,+0.741961,+0.741961,+0.741961
2016-07-01 00:19:00 UTC,+0.819696,+0.819696,+0.819696
2016-07-01 00:20:00 UTC,+0.753066,+0.753066,+0.753066
2016-07-01 00:21:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:22:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:23:00 UTC,+0.508834,+0.508834,+0.508834
2016-07-01 00:24:00 UTC,+0.508834,+0.508834,+0.508834
2016-07-01 00:25:00 UTC,+0.508834,+0.508834,+0.508834
2016-07-01 00:26:00 UTC,+0.508834,+0.508834,+0.508834
2016-07-01 00:27:00 UTC,+0.508834,+0.508834,+0.508834
2016-07-01 00:28:00 UTC,+0.508834,+0.508834,+0.508834
2016-07-01 00:29:00 UTC,+0.508834,+0.508834,+0.508834
2016-07-01 00:30:00 UTC,+0.497737,+0.497737,+0.497737
2016-07-01 00:31:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:32:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:33:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:34:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:35:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:36:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:37:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:38:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:39:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:40:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:41:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:42:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:43:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:44:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:45:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:46:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:47:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:48:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:49:00 UTC,+0.486641,+0.486641,+0.486641
2016-07-01 00:50:00 UTC,+0.519931,+0.519931,+0.519931
2016-07-01 00:51:00 UTC,+0.619827,+0.619827,+0.619827
2016-07-01 00:52:00 UTC,+0.619827,+0.619827,+0.619827
2016-07-01 00:53:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:54:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:55:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:56:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:57:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:58:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 00:59:00 UTC,+0.608726,+0.608726,+0.608726
2016-07-01 01:00:00 UTC,+0.571771,+0.571771,+0.571771
2016-07-01 01:01:00 UTC,+0.571771,+0.571771,+0.571771
2016-07-01 01:02:00 UTC,+0.571771,+0.571771,+0.571771
2016-07-01 01:03:00 UTC,+0.571771,+0.571771,+0.571771
2016-07-01 01:04:00 UTC,+0.571771,+0.571771,+0.571771
2016-07-01 01:05:00 UTC,+0.571771,+0.571771,+0.571771
2016-07-01 01:06:00 UTC,+0.571771,+0.571771,+0.571771
