# file...... TESS/TESS_BC/hvac_load_all.csv
# date...... Mon Apr 26 20:56:16 2021
# user...... (null)
# host...... (null)
# group..... class=house
# property.. hvac_load
# limit..... 0
# interval.. 60
# timestamp,house_1,house_2,house_3,house_4,house_5,house_6
2000-01-01 00:00:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:01:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:02:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:03:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:04:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:05:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:06:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:07:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:08:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:09:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:10:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:11:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:12:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:13:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:14:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:15:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:16:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:17:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:18:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:19:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:20:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:21:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:22:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:23:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:24:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:25:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:26:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:27:00 UTC,+0,+0,+0,+0,+3.62903,+0
2000-01-01 00:28:00 UTC,+0,+0,+0,+0,+3.60109,+0
2000-01-01 00:29:00 UTC,+0,+0,+0,+0,+3.57405,+0
2000-01-01 00:30:00 UTC,+0,+0,+0,+0,+3.54787,+0
2000-01-01 00:31:00 UTC,+0,+0,+0,+0,+3.52251,+0
2000-01-01 00:32:00 UTC,+0,+0,+0,+0,+3.49791,+0
2000-01-01 00:33:00 UTC,+0,+0,+0,+0,+3.47405,+0
2000-01-01 00:34:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:35:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:36:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:37:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:38:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 00:39:00 UTC,+0,+0,+0,+0,+3.34441,+0
2000-01-01 00:40:00 UTC,+0,+0,+0,+0,+3.32483,+0
2000-01-01 00:41:00 UTC,+0,+0,+0,+0,+3.30576,+0
2000-01-01 00:42:00 UTC,+0,+0,+0,+0,+3.28721,+0
2000-01-01 00:43:00 UTC,+0,+0,+0,+0,+3.26916,+0
2000-01-01 00:44:00 UTC,+0,+0,+0,+0,+3.25158,+0
2000-01-01 00:45:00 UTC,+0,+0,+0,+0,+3.23448,+0
2000-01-01 00:46:00 UTC,+0,+0,+0,+0,+3.21785,+0
2000-01-01 00:47:00 UTC,+0,+0,+0,+0,+3.20167,+0
2000-01-01 00:48:00 UTC,+0,+0,+0,+0,+3.18595,+0
2000-01-01 00:49:00 UTC,+0,+0,+0,+0,+3.17067,+0
2000-01-01 00:50:00 UTC,+0,+0,+0,+0,+3.15582,+0
2000-01-01 00:51:00 UTC,+0,+0,+0,+0,+3.14142,+0
2000-01-01 00:52:00 UTC,+0,+0,+0,+0,+3.12745,+0
2000-01-01 00:53:00 UTC,+0,+0,+0,+0,+3.1139,+0
2000-01-01 00:54:00 UTC,+0,+0,+0,+0,+3.10079,+0
2000-01-01 00:55:00 UTC,+0,+0,+0,+0,+3.08809,+0
2000-01-01 00:56:00 UTC,+0,+0,+0,+0,+3.07582,+0
2000-01-01 00:57:00 UTC,+0,+0,+0,+0,+3.06396,+0
2000-01-01 00:58:00 UTC,+0,+0,+0,+0,+3.05251,+0
2000-01-01 00:59:00 UTC,+0,+0,+0,+0,+3.04148,+0
2000-01-01 01:00:00 UTC,+0,+0,+0,+0,+4.50955,+0
2000-01-01 01:01:00 UTC,+0,+0,+0,+0,+4.51045,+0
2000-01-01 01:02:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 01:03:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 01:04:00 UTC,+0,+0,+0,+0,+0,+0
2000-01-01 01:05:00 UTC,+0,+0,+0,+0,+0,+0
